rel_time,rtt
2191.738013982773,1215.0
2191.9430730342865,1220.0
2192.1430521011353,1219.0
2192.3431379795074,1219.0
2192.4681329727173,1141.0
2192.7281770706177,1201.0
2192.9679839611053,1237.0
2193.1631519794464,1232.0
2193.408050060272,1276.0
2193.608114004135,1275.0
2193.8081459999084,1275.0
2194.0331420898438,1295.0
2194.2280209064484,1285.0
2194.4280030727386,1285.0
2194.6280479431152,1284.0
2194.768660068512,1223.0
2194.888135910034,1142.0
2195.1480650901794,1201.0
2195.4481329917908,1300.0
2195.5480139255524,1199.0
2195.7636280059814,1213.0
2195.8881940841675,1137.0
2196.1680760383606,1215.0
2196.272974014282,1115.0
2196.5680198669434,1209.0
2196.763079881668,1204.0
2196.9679958820343,1205.0
2197.0929939746857,1130.0
2197.473104953766,1305.0
2197.523046016693,1154.0
2197.823051929474,1245.0
2197.9380950927734,1160.0
2198.24316906929,1264.0
2198.450597047806,1270.0
2198.5631079673767,1180.0
2198.803160905838,1220.0
2199.088052034378,1301.0
2199.187973022461,1201.0
2199.3706369400024,1180.0
2199.6280720233917,1237.0
2199.8280169963837,1236.0
2200.028060913086,1233.0
2200.2280399799347,1233.0
2200.463052034378,1265.0
2200.663079023361,1264.0
2200.8631529808044,1260.0
2200.9680778980255,1165.0
2201.308135032654,1304.0
2201.408042907715,1203.0
2201.6231179237366,1217.0
2201.9130959510803,1306.0
2202.0430719852448,1236.0
2202.2430799007416,1235.0
2202.453080892563,1238.0
2202.6481409072876,1230.0
2202.91358089447,1291.0
2203.1079890727997,1281.0
2203.217985868454,1191.0
2203.513107061386,1285.0
2203.608113050461,1179.0
2203.923101902008,1293.0
2203.9480929374695,1118.0
2204.1332199573517,1102.0
2204.363023042679,1132.0
2204.5806090831757,1146.0
2204.8630409240723,1226.0
2204.942964076996,1104.0
2205.207974910736,1169.0
2205.4080550670624,1169.0
2205.6480939388275,1208.0
2205.848057985306,1207.0
2206.0880920886993,1241.0
2206.293148994446,1246.0
2209.275724887848,777.0
2209.9306030273438,1228.0
2210.2655849456787,1359.0
2210.5406160354614,1430.0
2210.8008320331573,1490.0
2211.047977924347,1533.0
2211.2479948997498,1529.0
2211.332983970642,1410.0
2211.5329880714417,1409.0
2211.6280250549316,1303.0
2211.848051071167,1321.0
2211.927999973297,1200.0
2212.133192062378,1205.0
2212.332942008972,1204.0
2212.5281388759613,1198.0
2212.7358939647675,1205.0
2212.9280149936676,1195.0
2213.0435700416565,1105.0
2213.3430359363556,1200.0
2213.418174982071,1074.0
2213.743066072464,1199.0
2213.8130300045013,1067.0
2213.9736289978027,1027.0
2214.163011074066,1016.0
2214.388072013855,1035.0
2214.613023996353,1060.0
2215.20360994339,1049.0
2215.3959670066833,1040.0
2215.8280549049377,1070.0
2216.0430560112,1084.0
2216.228537082672,1066.0
2216.443114042282,1079.0
2216.8580079078674,1091.0
2217.4356689453125,1067.0
2217.8329639434814,1062.0
2218.102998971939,1132.0
2218.243068933487,1068.0
2218.4579989910126,1079.0
2218.672930955887,1093.0
2218.908052921295,1125.0
2219.058016061783,1075.0
2219.322988986969,1139.0
2219.475601911545,1090.0
2219.76304602623,1177.0
2219.868052005768,1082.0
2220.183037996292,1196.0
2220.283030986786,1095.0
2220.662990093231,1274.0
2220.71297287941,1123.0
2220.8930299282074,1104.0
2221.1130430698395,1123.0
2221.305620908737,1112.0
2221.5430660247803,1149.0
2221.770714044571,1172.0
2221.9680120944977,1170.0
2222.1235949993134,1124.0
2222.423080921173,1223.0
2222.625671863556,1225.0
2222.843211889267,1242.0
2222.990774869919,1190.0
2223.1831109523773,1182.0
2223.288055896759,1086.0
2223.493138074875,1090.0
2223.7931258678436,1189.0
2223.8935980796814,1090.0
2224.0981678962708,1093.0
2224.283173084259,1078.0
2224.553097009659,1147.0
2224.7086820602417,1101.0
2225.0231080055237,1216.0
2225.0931100845337,1085.0
2225.338152885437,1130.0
2225.4731431007385,1064.0
2225.6487069129944,1038.0
2225.8330550193787,1023.0
2226.0330848693848,1022.0
2226.193202972412,982.0
2226.4330780506134,1021.0
2226.613065958023,1000.0
2226.8529810905457,1040.0
2227.04803109169,1035.0
2227.2906708717346,1076.0
2227.583021879196,1164.0
2227.778002977371,1155.0
2227.9830899238586,1156.0
2228.1031210422516,1076.0
2228.3831329345703,1155.0
2228.488060951233,1059.0
2228.8430709838867,1214.0
2228.938024044037,1109.0
2229.258019924164,1229.0
2229.2629940509796,1033.0
2229.5031430721283,1072.0
2229.7081100940704,1076.0
2229.913017988205,1074.0
2230.143096923828,1104.0
2230.323093891144,1080.0
2230.5680470466614,1125.0
2230.7379829883575,1095.0
2231.0429990291595,1199.0
2231.1830129623413,1138.0
2231.4830238819122,1238.0
2231.6409289836884,1195.0
2231.9029960632324,1256.0
2232.1107449531555,1263.0
2232.3030920028687,1250.0
2232.3032190799713,1049.0
2232.5130610466003,1058.0
2232.7279920578003,1074.0
2232.9280030727386,1073.0
2233.1630249023438,1108.0
2233.330621957779,1075.0
2233.603133916855,1147.0
2233.728086948395,1071.0
2233.91592001915,1057.0
2234.315677881241,1055.0
2234.498055934906,1037.0
2235.1305780410767,1067.0
2235.3930249214172,1126.0
2235.6531450748444,1185.0
2235.8530559539795,1185.0
2236.0330419540405,1162.0
2236.282991886139,1208.0
2236.573023080826,1297.0
2236.6729550361633,1197.0
2236.8130009174347,1138.0
2237.123044013977,1247.0
2237.3230090141296,1246.0
2237.520519018173,1242.0
2237.6180789470673,1139.0
2237.9679811000824,1285.0
2238.0529470443726,1169.0
2238.403063058853,1316.0
2238.4180538654327,1131.0
2238.633020877838,1145.0
2238.942981004715,1254.0
2239.1529819965363,1262.0
2241.2107100486755,1092.0
2241.6156640052795,1289.0
2241.9405660629272,1410.0
2242.1705338954926,1436.0
2242.410574913025,1472.0
2242.7030959129333,1560.0
2242.80073595047,1458.0
2242.9008910655975,1350.0
2243.0080580711365,1256.0
2243.208139896393,1255.0
2243.4029610157013,1244.0
2243.5930318832397,1233.0
2243.7308778762817,1170.0
2244.0835778713226,1323.0
2244.1329939365387,1172.0
2244.953038930893,1190.0
2245.1159670352936,1149.0
2245.403074979782,1236.0
2245.515522956848,1145.0
2245.803032875061,1228.0
2245.9080250263214,1129.0
2246.3880219459534,1208.0
2246.622992038727,1240.0
2246.7279579639435,1144.0
2247.040596961975,1254.0
2247.143105983734,1156.0
2247.4629440307617,1272.0
2247.528160095215,1130.0
2247.8281099796295,1229.0
2248.0229790210724,1225.0
2248.228089094162,1229.0
2248.4230060577393,1224.0
2248.6330959796906,1230.0
2248.833009004593,1230.0
2249.028016090393,1221.0
2249.252991914749,1246.0
2249.4430079460144,1235.0
2249.653002977371,1244.0
2249.8479890823364,1238.0
2250.047982931137,1237.0
2250.24804186821,1236.0
2250.4480299949646,1235.0
2250.5480020046234,1134.0
2250.7830588817596,1168.0
2251.0830550193787,1268.0
2251.212926864624,1197.0
2251.403007030487,1186.0
2251.7030730247498,1285.0
2251.8080520629883,1189.0
2252.1035618782043,1284.0
2252.30296087265,1276.0
2252.4030199050903,1176.0
2252.707944869995,1281.0
2252.808037996292,1173.0
2253.1529920101166,1317.0
2253.1829640865326,1144.0
2253.3679859638214,1128.0
2253.6080451011658,1168.0
2253.7930800914764,1150.0
2254.0180430412292,1175.0
2254.298003911972,1247.0
2254.503259897232,1252.0
2254.6980299949646,1246.0
2254.913011074066,1259.0
2255.003033876419,1149.0
2255.303013086319,1248.0
2255.502995967865,1244.0
2255.722972869873,1264.0
2255.9431109428406,1284.0
2256.1429550647736,1283.0
2256.367922067642,1307.0
2256.577985048294,1311.0
2256.6079518795013,1141.0
2256.863224029541,1195.0
2256.993089914322,1124.0
2257.2979769706726,1228.0
2257.492915868759,1222.0
2257.6330320835114,1161.0
2257.8629779815674,1190.0
2258.0280599594116,1155.0
2258.338042974472,1264.0
2258.4430170059204,1164.0
